Province,2001 Average Temp,2002 Average Temp,2003 Average Temp,2004 Average Temp,2005 Average Temp,2006 Average Temp,2007 Average Temp,2008 Average Temp,2009 Average Temp,2010 Average Temp,2011 Average Temp,2012 Average Temp,2013 Average Temp,2014 Average Temp,2015 Average Temp,2016 Average Temp,2001 Average Rain,2002 Average Rain,2003 Average Rain,2004 Average Rain,2005 Average Rain,2006 Average Rain,2007 Average Rain,2008 Average Rain,2009 Average Rain,2010 Average Rain,2011 Average Rain,2012 Average Rain,2013 Average Rain,2014 Average Rain,2015 Average Rain,2016 Average Rain
Papua,20.2011878175,20.24068832,20.898372052499997,20.844612055,20.791609966666666,20.076857000833332,19.946805555833333,19.975990298333333,20.220547876666668,22.749023296666667,22.047939068333335,22.0156723525,22.174864310833332,22.098853045833334,22.222382873333334,22.450081264999998,171.67499999999998,119.35000000000001,151.50833333333333,100.45833333333333,130.56666666666666,102.73333333333333,192.36666666666667,222.25,214.9333333333333,219.275,228.65,253.18333333333337,233.20833333333334,149.99166666666667,139.75833333333333,193.14166666666665
Riau,27.529288715000003,27.68225463083333,27.69538550333333,27.68571907666667,27.982793779999998,27.718419340833332,27.614276753333332,28.1388005175,28.247044929166666,26.89771761333333,26.7668445975,26.927729884166666,27.1479902725,26.7708365325,27.160704045,27.390055616666668,243.04999999999998,257.26666666666665,315.0,246.63333333333333,274.4833333333333,263.81666666666666,293.2416666666667,239.65833333333333,279.59999999999997,319.39166666666665,219.36666666666667,230.89166666666665,238.875,271.10833333333335,188.225,241.15
West Kalimantan,27.651463204166664,27.993036354166666,27.882575900833334,27.675580583333332,27.527974909999998,27.499711980833336,27.082949309166665,26.826324310833332,27.1675998475,25.691260242499997,25.544032896666668,25.633283586666664,25.80362327083333,25.882732336666667,25.858228366666665,26.141623719166663,192.04933333333335,231.0195,254.44658333333334,299.94008333333335,307.16858333333334,240.14208333333332,354.3810833333334,318.95116666666667,327.2455,432.54108333333335,290.23133333333334,323.7828333333334,270.47166666666664,230.41591666666667,299.0171666666667,383.25741666666664
